,Planet Name,Host Star of Planet,Num Stars,Num Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period in Days,Orbit Semi-Major Axis,Mass,Eccentricity,Spectral Type,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Metallicity,Stellar Metallicity Ratio,Stellar Surface Gravity,Distance,Gaia Magnitude
4408,WASP-175 b,WASP-175,1,1,Transit,2019,WASP-South,3.0652907,0.04403,314.6517,0.0,F7,6229.0,1.2,1.21,0.15,[Fe/H],4.36,539.36,12.7065
4409,WASP-176 b,WASP-176,1,1,Transit,2020,SuperWASP-North,3.899052,0.0535,271.74465,0.0,F9,5941.0,1.93,1.34,0.164,[Fe/H],4.0,568.42,11.9392
4411,WASP-178 b,WASP-178,1,1,Transit,2019,WASP-South,3.3448285,0.0558,527.5978,0.0,A1 IV-V,9360.0,1.67,2.07,0.21,[Fe/H],4.31,427.678,9.91226
4414,WASP-180 A b,WASP-180 A,2,1,Transit,2019,SuperWASP,3.409264,0.048,286.047,0.0,F7 V,6600.0,1.19,1.3,0.1,[Fe/H],4.42,253.985,10.9134
4416,WASP-182 b,WASP-182,1,1,Transit,2019,WASP-South,3.3769848,0.0451,47.03884,0.0,G5,5638.0,1.34,1.08,0.27,[Fe/H],4.22,327.602,11.917
4418,WASP-184 b,WASP-184,1,1,Transit,2019,WASP-South,5.1817,0.0627,181.1631,0.0,G0 V,6000.0,1.65,1.23,0.12,[Fe/H],4.09,663.231,12.5673
4419,WASP-185 b,WASP-185,1,1,Transit,2019,WASP-South,9.38755,0.0904,311.4734,0.24,G0 V,5900.0,1.5,1.12,-0.02,[Fe/H],4.13,279.35,10.8949
4420,WASP-186 b,WASP-186,1,1,Transit,2020,SuperWASP,5.026799,0.06,1341.2426,0.33,F,6361.0,1.47,1.22,-0.08,[Fe/H],4.19,278.514,10.6509
4421,WASP-187 b,WASP-187,1,1,Transit,2020,SuperWASP,5.147878,0.0653,254.264,0.0,F,6150.0,2.83,1.54,0.0,[Fe/H],3.72,371.414,10.1318
4423,WASP-190 b,WASP-190,1,1,Transit,2019,WASP-South,5.367753,0.0663,317.83,0.0,F6 IV-V,6400.0,1.6,1.35,-0.02,[Fe/H],4.17,542.251,11.6333
4424,WASP-192 b,WASP-192,1,1,Transit,2019,WASP-South,2.8786765,0.0408,731.009,0.0,G0 V,5910.0,1.32,1.09,0.14,[Fe/H],4.24,508.885,12.5347
4426,WASP-20 b,WASP-20,2,1,Transit,2015,SuperWASP,4.8996284,0.06,98.841,0.0,F9,5940.0,1.39,1.2,-0.008,[Fe/H],4.23,211.877,10.6503
4433,WASP-28 b,WASP-28,1,1,Transit,2014,SuperWASP,3.40883,0.04469,288.26,0.0,F8,6150.0,1.09,1.02,-0.29,[Fe/H],4.37,348.494,12.0286
4461,WASP-52 b,WASP-52,1,1,Transit,2012,SuperWASP,1.7497798,0.0272,146.2,0.0,K2 V,5000.0,0.79,0.87,0.03,[Fe/H],4.58,174.818,11.9537
4469,WASP-59 b,WASP-59,1,1,Transit,2012,SuperWASP,7.919585,0.0697,274.276,0.1,K5 V,4650.0,0.61,0.72,-0.15,[Fe/H],4.72,115.936,12.3142
4475,WASP-64 b,WASP-64,2,1,Transit,2012,SuperWASP,1.5732918,0.02648,403.945,0.0,G7,5400.0,1.06,1.0,-0.08,[Fe/H],4.39,369.926,12.5257
4476,WASP-65 b,WASP-65,1,1,Transit,2013,SuperWASP,2.3114243,0.0334,492.62,0.0,G6,5600.0,1.01,0.93,-0.07,[Fe/H],4.4,273.703,11.7509
4482,WASP-70 A b,WASP-70 A,2,1,Transit,2014,SuperWASP,3.7130203,0.04853,187.512,0.0,G4,5763.0,1.22,1.11,-0.006,[Fe/H],4.31,222.355,11.0323
4487,WASP-75 b,WASP-75,2,1,Transit,2013,SuperWASP,2.484193,0.0375,340.06,0.0,F9,6100.0,1.26,1.14,0.07,[Fe/H],4.29,294.001,11.3347
4488,WASP-76 b,WASP-76,2,1,Transit,2016,SuperWASP,1.809886,0.033,292.4036,0.0,F7,6250.0,1.73,1.46,0.23,[Fe/H],4.13,194.459,9.39507
4497,WASP-83 b,WASP-83,1,1,Transit,2015,SuperWASP,4.971252,0.059,95.349,0.0,G8,5510.0,1.05,1.11,0.29,[Fe/H],4.44,271.103,12.0084
4498,WASP-84 b,WASP-84,1,1,Transit,2014,SuperWASP,8.5234865,0.0771,220.565,0.0,K0,5314.0,0.75,0.84,0.0,[Fe/H],4.4,100.588,10.5745
4502,WASP-89 b,WASP-89,1,1,Transit,2015,SuperWASP,3.3564227,0.0427,1875.197,0.193,K3,5130.0,0.88,0.92,0.15,[Fe/H],4.51,290.946,12.989
4503,WASP-90 b,WASP-90,1,1,Transit,2016,SuperWASP,3.916243,0.0562,200.2329,0.0,F6,6430.0,1.98,1.55,0.11,[Fe/H],4.03,466.433,11.4559
4504,WASP-91 b,WASP-91,1,1,Transit,2017,SuperWASP-South,2.798581,0.037,425.8922,0.0,K3,4920.0,0.86,0.84,0.19,[Fe/H],4.3,149.942,11.6236
4505,WASP-92 b,WASP-92,1,1,Transit,2016,SuperWASP,2.1746742,0.0348,255.85315,0.0,F7,6280.0,1.34,1.19,0.0,[Fe/H],4.26,575.889,12.8183
4506,WASP-93 b,WASP-93,1,1,Transit,2016,SuperWASP,2.7325321,0.04211,467.2101,0.0,F4,6700.0,1.52,1.33,0.07,[Fe/H],4.2,370.284,10.978
4508,WASP-94 B b,WASP-94 B,2,2,Radial Velocity,2014,SuperWASP,2.00839,0.0335,196.411,0.0,F9,6040.0,1.35,1.24,0.23,[Fe/H],4.26,208.696,10.4055
4510,WASP-96 b,WASP-96,1,1,Transit,2014,SuperWASP,3.4252602,0.0453,152.55,0.0,G8,5540.0,1.05,1.06,0.14,[Fe/H],4.42,352.464,12.3833
4517,WTS-1 b,WTS-1,1,1,Transit,2012,United Kingdom Infrared Telescope,3.352057,0.047,1274.44,0.1,F6 V,6250.0,1.15,1.2,-0.5,[Fe/H],4.4,2346.01,16.4299
4532,XO-6 b,XO-6,1,1,Transit,2016,XO,3.7650007,0.0815,1398.452,0.0,F5,6720.0,1.93,1.47,-0.07,[Fe/H],4.04,235.479,10.191
4533,XO-7 b,XO-7,1,1,Transit,2019,XO,2.8641424,0.04421,225.34147,0.038,G0 V,6250.0,1.48,1.41,0.432,[Fe/H],4.25,234.149,10.4575
4540,bet Cnc b,bet Cnc,2,1,Radial Velocity,2014,Bohyunsan Optical Astronomical Observatory,605.2,1.7,2479.0,0.08,K4 III,4092.1,47.2,1.7,-0.29,[Fe/H],1.4,89.0472,3.04628
4544,eps CrB b,eps CrB,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,417.9,1.3,2129.461,0.11,K2 III,4406.0,21.0,1.7,-0.094,[Fe/H],1.94,69.8683,3.75773
4550,gam Lib b,gam Lib,1,2,Radial Velocity,2018,Okayama Astrophysical Observatory,415.2,1.24,324.1866,0.21,K0 III,4822.0,11.1,1.47,-0.3,[Fe/H],2.47,47.4017,3.64937
4551,gam Lib c,gam Lib,1,2,Radial Velocity,2018,Okayama Astrophysical Observatory,964.6,2.17,1455.6614,0.057,K0 III,4822.0,11.1,1.47,-0.3,[Fe/H],2.47,47.4017,3.64937
4555,mu Leo b,mu Leo,1,1,Radial Velocity,2014,Bohyunsan Optical Astronomical Observatory,357.8,1.1,762.8,0.09,K2 III,4538.2,11.4,1.5,0.36,[Fe/H],2.4,32.6081,3.52769
4556,nu Oph b,nu Oph,1,2,Radial Velocity,2012,Okayama Astrophysical Observatory,530.21,1.79,7057.73298,0.124,K0 III,4886.0,14.6,2.7,0.06,[Fe/H],2.56,46.2107,3.09653
4557,nu Oph c,nu Oph,1,2,Radial Velocity,2012,Okayama Astrophysical Observatory,3184.83,5.931,7838.32346,0.18,K0 III,4886.0,14.6,2.7,0.06,[Fe/H],2.56,46.2107,3.09653
4558,ome Ser b,ome Ser,2,1,Radial Velocity,2013,Okayama Astrophysical Observatory,277.02,1.1,540.3,0.106,G8 III,4770.0,12.3,2.17,-0.24,[Fe/H],2.32,76.7556,4.92833
4561,pi Men c,HD 39091,1,2,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),6.2679,0.06839,4.82,0.0,G0 V,6037.0,1.1,1.09,0.08,[Fe/H],4.42,18.2702,5.5128
4563,rho CrB b,rho CrB,1,2,Radial Velocity,1997,Fred Lawrence Whipple Observatory,39.8458,0.2196,332.1,0.0373,G0 V,5627.0,1.36,0.89,-0.31,[Fe/H],4.12,17.4671,5.24167
4564,rho CrB c,rho CrB,1,2,Radial Velocity,2016,Multiple Observatories,102.54,0.4123,25.0,0.052,G0 V,5627.0,1.36,0.89,-0.31,[Fe/H],4.12,17.4671,5.24167
4570,tau Gem b,tau Gem,1,1,Radial Velocity,2013,Lick Observatory,305.5,1.17,6547.0,0.031,K2 III,4388.0,26.8,2.3,0.14,[Fe/H],1.96,112.537,4.03996
